RBD,NOM_RBD,COD_COM_RBD,COD_DEPE2,LATITUD,LONGITUD,MAT_TOTAL,ESTADO_ESTAB,ENS_01,COD_ENSE2,COD_PRO_RBD,PROM_ASIS,PROM_ASIS_REP
415,LICEO DE MÚSICA DE COPIAPÓ HUGO GARRIDO GAETE,3101,5,-27.37387848,-70.32836151,1025,1,110,2,31,88.6390101892285,85.0
415,LICEO DE MÚSICA DE COPIAPÓ HUGO GARRIDO GAETE,3101,5,-27.37387848,-70.32836151,1025,1,110,5,31,86.1842900302115,73.75
416,ESCUELA ABRAHAM SEPÚLVEDA PIZARRO,3101,5,-27.35737,-70.347443,732,1,10,2,31,82.6467661691542,56.6666666666667
417,COLEGIO BUEN PASTOR,3101,5,-27.371309,-70.328178,807,1,10,2,31,82.0302158273381,72.5
418,ESCUELA ISABEL PEÑA MORALES,3101,5,-27.3839,-70.307793,1060,1,10,2,31,80.2791712104689,57.5
419,ESCUELA HERNÁN MÁRQUEZ HUERTA,3101,5,-27.41272,-70.273323,682,1,10,2,31,83.1660377358491,64.1111111111111
419,ESCUELA HERNÁN MÁRQUEZ HUERTA,3101,5,-27.41272,-70.273323,682,1,10,6,31,72.0943396226415,80.0
420,LICEO FERNANDO ARIZTÍA RUIZ,3101,5,-27.40682,-70.269547,1593,1,10,2,31,81.5641025641026,63.5833333333333
420,LICEO FERNANDO ARIZTÍA RUIZ,3101,5,-27.40682,-70.269547,1593,1,10,5,31,83.7371794871795,68.8571428571429
420,LICEO FERNANDO ARIZTÍA RUIZ,3101,5,-27.40682,-70.269547,1593,1,10,7,31,87.4255319148936,75.0
420,LICEO FERNANDO ARIZTÍA RUIZ,3101,5,-27.40682,-70.269547,1593,1,10,7,31,81.8285714285714,69.3333333333333
421,ESCUELA BRUNO ZAVALA FREDES,3101,5,-27.380211,-70.322678,1095,1,10,2,31,83.6090395480226,68.0769230769231
423,ESCUELA SAN PEDRO,3101,5,-27.324381,-70.538589,339,1,10,2,31,85.8601398601399,73.5
427,ESCUELA LUIS CRUZ MARTÍNEZ,3101,5,-27.39292,-70.298683,412,1,10,2,31,72.9484848484849,46.5
429,LICEO CATÓLICO ATACAMA,3101,2,-27.366802,-70.3368,2136,1,10,2,31,87.9481054365733,81.5
429,LICEO CATÓLICO ATACAMA,3101,2,-27.366802,-70.3368,2136,1,10,5,31,91.4724025974026,91.0
430,LICEO POLITÉCNICO BELÉN,3101,2,-27.361509,-70.333351,1022,1,10,2,31,83.8856682769726,17.0
430,LICEO POLITÉCNICO BELÉN,3101,2,-27.361509,-70.333351,1022,1,10,5,31,82.8962264150943,26.0
430,LICEO POLITÉCNICO BELÉN,3101,2,-27.361509,-70.333351,1022,1,10,7,31,82.9624060150376,10.5
