RBD,MRUN,COD_JOR,PROM_GRAL,SIT_FIN_R
396,6017960,3,5.4,P
396,7909981,3,5.8,P
396,10364920,3,0.0,T
396,11148850,3,5.1,P
396,13562917,3,6.1,P
396,15792896,3,4.6,P
396,16105598,3,6.2,P
396,16339905,3,5.2,P
396,17952649,3,4.6,R
396,18321131,3,5.9,P
396,19769391,3,5.7,P
396,20452446,3,5.4,P
396,22001165,3,5.9,P
396,22531172,3,6.2,P
396,24560872,3,6.1,P
396,24612126,3,5.9,P
396,25463324,3,6.2,P
396,26117828,3,4.7,P
396,26261837,3,5.0,P
396,26264400,3,5.0,P
396,26463402,3,5.9,P
396,1774597,3,5.2,P
396,3927405,3,5.5,P
396,4671634,3,5.6,P
396,5158631,3,5.4,P
396,6371288,3,5.3,P
396,6699808,3,5.2,P
396,7240559,3,5.5,P
396,7678349,3,5.5,P
396,7769563,3,5.0,P
396,7990843,3,6.1,P
396,8194363,3,4.8,P
396,8569431,3,6.6,P
396,10117360,3,6.2,P
396,10985195,3,5.5,P
396,11196625,3,4.6,P
396,11560606,3,5.5,P
396,13279966,3,6.3,P
396,14284559,3,5.3,P
396,14549612,3,5.5,P
396,15868770,3,5.3,P
396,16214770,3,5.6,P
396,16624726,3,4.9,P
396,19860926,3,4.9,P
396,20075877,3,5.0,P
396,20079176,3,5.7,P
396,23972698,3,5.5,P
396,24046133,3,5.2,P
396,24470310,3,6.2,P
396,26139065,3,5.7,P
396,26344818,3,5.7,P
396,26457958,3,4.8,P
396,756696,3,3.9,R
396,1099513,3,6.3,P
396,3215659,3,6.5,P
396,3408079,3,6.7,P
396,3987698,3,5.5,P
396,5619350,3,4.6,P
396,5886174,3,4.9,P
396,9733154,3,5.9,P
396,10027888,3,4.8,P
396,11032565,3,0.0,T
396,11895824,3,5.2,P
396,11955028,3,5.5,P
396,13036680,3,4.8,P
396,13593150,3,4.9,P
396,13645393,3,6.7,P
396,13776036,3,4.6,P
396,15911550,3,4.8,P
396,16415601,3,5.9,P
396,17387260,3,3.6,R
396,17566699,3,5.6,P
396,19817148,3,3.7,R
396,20466726,3,5.5,P
396,20868456,3,5.2,P
396,21911402,3,6.6,P
396,23548077,3,6.6,P
396,23683298,3,4.9,P
396,24864268,3,2.9,R
396,25479453,3,5.2,P
396,25642788,3,5.3,P
396,26979218,3,6.2,P
396,800390,3,6.2,P
396,1295641,3,5.5,P
396,1578835,3,5.7,P
396,2818025,3,6.7,P
396,3012861,3,6.2,P
396,3128009,3,5.7,P
396,3206139,3,6.1,P
396,4306474,3,6.2,P
396,7583042,3,6.4,P
396,7859233,3,5.2,P
396,9106507,3,5.7,P
396,9806364,3,5.3,P
396,12911347,3,5.7,P
396,12947546,3,5.9,P
396,13872693,3,6.1,P
396,14697680,3,5.5,P
396,15463813,3,5.2,P
396,16659457,3,5.2,P
396,16692638,3,5.8,P
396,18995656,3,5.6,P
396,20044497,3,6.0,P
396,21198556,3,5.2,P
396,21632328,3,5.5,P
396,23047355,3,6.4,P
396,24968528,3,5.1,P
396,25463856,3,6.5,P
396,25855077,3,5.5,P
396,26069803,3,5.1,P
396,26458371,3,5.8,P
396,26606490,3,6.2,P
396,225361,3,4.9,P
396,829915,3,5.0,P
396,2322110,3,6.1,P
396,2846381,3,5.2,P
396,3567388,3,5.9,P
396,3912069,3,5.5,P
396,5976205,3,5.8,P
396,6220213,3,5.9,P
396,6585371,3,5.3,P
396,7082682,3,6.5,P
396,7104832,3,6.0,P
396,8166168,3,6.5,P
396,9314980,3,6.3,P
396,9477384,3,5.6,P
396,10842158,3,5.1,P
396,12086385,3,5.9,P
396,12163662,3,5.6,P
396,13048673,3,5.1,P
396,14123905,3,5.3,P
396,15470279,3,5.1,P
396,17274888,3,5.5,P
396,19620364,3,5.4,P
396,24066210,3,5.3,P
396,24438813,3,5.8,P
396,25132053,3,5.7,P
396,25638736,3,6.3,P
396,25754605,3,6.6,P
396,25759585,3,6.0,P
396,25763295,3,6.3,P
396,26242761,3,6.5,P
396,26243255,3,5.5,P
396,26290437,3,6.1,P
396,957188,3,5.5,P
396,1701150,3,4.8,P
396,1797322,3,6.2,P
396,2973374,3,6.2,P
396,4905420,3,5.7,P
396,5313539,3,5.3,P
