stop_id,stop_name,RBD,school_name,distance
PC335,PC335-Av. Pdte. Kennedy / Esq. Benito Juárez,25265,COLEGIO ANTIL MAWIDA,0.4797429019351068
PC336,PC336-Parada / Colegio Sn. Pedro Nolasco,8837,ESCUELA DIFERENCIAL F N°254 MADRE TIERRA LO BARNECHEA,0.06492380930762083
PC337,PC337-Parada 4 / Mall Parque Arauco,8837,ESCUELA DIFERENCIAL F N°254 MADRE TIERRA LO BARNECHEA,0.35338993295048243
PC952,PC952-Parada 2 / Mall Parque Arauco,24657,COLEGIO CRISTIANO BETHEL II,0.6234611859963298
PC953,PC953-Av. Pdte. Kennedy / Esq. Arturo Ureta,24657,COLEGIO CRISTIANO BETHEL II,0.48597872249489915
PC1018,PC1018-Av. Pdte. Kennedy / Esq. Av. A. Vespucio,24657,COLEGIO CRISTIANO BETHEL II,0.5565278235507147
PC71,PC71-Av. Américo Vespucio / Esq. Cerro Colorado,24657,COLEGIO CRISTIANO BETHEL II,0.5638544486776934
PB53,PB53-José Miguel Infante / Esq. Poseidón,25237,COLEGIO DE ADULTOS GLADYS LAZO,0.08326704349648252
PB54,PB54-José Miguel Infante / Esq. Zeus,25237,COLEGIO DE ADULTOS GLADYS LAZO,0.3328086087731385
PB55,PB55-José Miguel Infante / Esq. Chungará,26080,COLEGIO SAINT ANDREW,0.19955914868426886
PB56,PB56-José Miguel Infante / Esq. Esmeralda,26080,COLEGIO SAINT ANDREW,0.030968196869921156
PB57,PB57-José Miguel Infante / Esq. Pasaje 1,26080,COLEGIO SAINT ANDREW,0.27436658669794917
PB1690,PB1690-José Miguel Infante / Esq. Playa Blanca,10133,ESCUELA BASICA G-N°320 LIPANGUE,0.42036772964261
PB58,PB58-José Miguel Infante / Esq. Almendrillo,26079,ESCUELA DE PARV. HELLO CHILDREN,0.16603708101848283
PB93,PB93-José Miguel Infante / Esq. Volcán Osorno,26079,ESCUELA DE PARV. HELLO CHILDREN,0.19231715368302324
PB94,PB94-José Miguel Infante / Esq. Clotario Blest Rifffo,10133,ESCUELA BASICA G-N°320 LIPANGUE,0.4168236099417343
PB95,PB95-José Miguel Infante / Esq. Esmeralda,26080,COLEGIO SAINT ANDREW,0.07640909312164391
PB96,PB96-José Miguel Infante / Esq. Chorrillos,26080,COLEGIO SAINT ANDREW,0.14975194693455104
PB97,PB97-José Miguel Infante / Esq. Fernando Olivares,25237,COLEGIO DE ADULTOS GLADYS LAZO,0.18467219849550806
PB98,PB98-José Miguel Infante / Esq. Av.Vicuña Mackenna,11914,ESCUELA BASICA Nº128 SAN RAMON,0.004339780684120431
PC461,PC461-Rancagua / Esq. Avenida Seminario,8880,COLEGIO NIDO DE AGUILAS,0.07941655800526802
PC462,PC462-Rancagua / Esq. Avenida Italia,25557,ESC BASICA PART EMILIA GONZALEZ ESPINOZA,0.08242069941290468
PC463,PC463-Rancagua / Esq. Avenida Salvador,8911,COLEGIO ARABE,0.1844128882167357
PC464,PC464-Diagonal Rancagua / Esq. Av. José M. Infante,26005,ESCUELA ESP. MI MUNDO EN PALABRAS,0.4078969065782259
PC465,PC465-Av. Francisco Bilbao / Esq. Av. J. Miguel Claro,26005,ESCUELA ESP. MI MUNDO EN PALABRAS,0.12179812253279222
PC466,PC466-Av. Francisco Bilbao / Esq. Av. Antonio Varas,8877,COLEGIO DE LOS SAGRADOS CORAZONES,0.1525672631397554
PC467,PC467-Parada / Parque Inés De Suarez,8893,COLEGIO INTERNACIONAL SEK CHILE,0.36127293886384076
PC468,PC468-Parada 1 / (M) Inés De Suarez,24685,COLEGIO PIAMARTA,0.04427258822216585
PC469,PC469-Av. Francisco Bilbao / Esq. Av. Ricardo Lyon,24685,COLEGIO PIAMARTA,0.27828126285249893
PC470,PC470-Av. Francisco Bilbao / Esq. Avenida Los Leones,8860,COLEGIO ANGLO AMERICAN INTERNATIONAL SCHOOL,0.21680254275921335
PC471,PC471-Av. Francisco Bilbao / Esq. Doc. Roberto Del Río,8860,COLEGIO ANGLO AMERICAN INTERNATIONAL SCHOOL,0.33269948362667473
PC472,PC472-Av. Francisco Bilbao / Esq. Hernando De Aguirre,8909,COLEGIO BRADFORD SCHOOL,0.35999523718346077
PC473,PC473-Av. Francisco Bilbao / Esq. Jorge Matte Gormaz,24801,COLEGIO HENRY FAYOL,0.1566416576227966
PC474,PC474-Av. Francisco Bilbao / Esq. Amapolas,24801,COLEGIO HENRY FAYOL,0.14589591088373044
PC475,PC475-Parada 3 / (M) Francisco Bilbao,8885,COLEGIO REDLAND SCHOOL,0.05032483985901502
PD476,PD476-Av. Francisco Bilbao / Esq. Eliécer Parada,24438,COLEGIO MERRYLAND,0.3026099957766984
PD477,PD477-Av. Francisco Bilbao / Esq. Emma Valderrama ,8945,ESCUELA Y LICEO PAULINA VON MALLINCKRODT,0.4277525245017393
PD478,PD478-Av. Francisco Bilbao / Esq. Av. A. Vespucio,8945,ESCUELA Y LICEO PAULINA VON MALLINCKRODT,0.10955612671884216
PD479,PD479-Av. Francisco Bilbao / Esq. Av. Manquehue-Sur,20387,"ESCUELA ESPECIAL N° 206, DANTE ALIGHIERI",0.7536879186324662
PD480,PD480-Av. Francisco Bilbao / Esq. Monseñor Edwards,8966,COLEGIO SAINT GABRIEL´S SCHOOL LOCAL SEDE,0.5891066227711411
PD481,PD481-Parada 1 / Rotonda Tomás Moro,8966,COLEGIO SAINT GABRIEL´S SCHOOL LOCAL SEDE,0.28000589966866574
PC442,PC442-Parada / Clínica Cordillera,8714,ESCUELA PARTICULAR RAMON FREIRE,0.41366594486366615
PC445,PC445-Alejandro Fleming / Esq. Fuenteovejuna,8714,ESCUELA PARTICULAR RAMON FREIRE,0.7332357087531663
PC446,PC446-Alejandro Fleming / Esq. Ayquina,8699,ESCUELA PARTICULAR EL PEQUENO ESTUDIANTE,0.6688025610808245
PC447,PC447-Alejandro Fleming / Esq. Av. Padre A. Hurtado,8699,ESCUELA PARTICULAR EL PEQUENO ESTUDIANTE,0.4077066275978269
PC1223,PC1223-Vital Apoquindo / Esq. Lucaro,8718,ESCUELA PARTICULAR DANES,0.19532170734290333
PC453,PC453-Alejandro Fleming / Esq. Santa Zita,26328,COLEGIO ANTUQUENU ANDINO,0.163992058835714
PC1046,PC1046-Alejandro Fleming / Esq. Totoralillo,26328,COLEGIO ANTUQUENU ANDINO,0.29314240420031284
PC455,PC455-Alejandro Fleming / Esq. Av. Padre A. Hurtado,8699,ESCUELA PARTICULAR EL PEQUENO ESTUDIANTE,0.3664999048581339
PC1045,PC1045-Alejandro Fleming / Esq. Visviri,8699,ESCUELA PARTICULAR EL PEQUENO ESTUDIANTE,0.4818873698166048
PC456,PC456-Alejandro Fleming / Esq. Alhué,8699,ESCUELA PARTICULAR EL PEQUENO ESTUDIANTE,0.744552153042077
PC457,PC457-Alejandro Fleming / Esq. Cuarto Centenario,8714,ESCUELA PARTICULAR RAMON FREIRE,0.7956205773049153
PC458,PC458-Parada / Clínica Cordillera,8714,ESCUELA PARTICULAR RAMON FREIRE,0.4672440598555135
PC459,PC459-Alejandro Fleming / Esq. Av. Tomás Moro,8714,ESCUELA PARTICULAR RAMON FREIRE,0.12779539537816062
PC482,PC482-Av. Francisco Bilbao / Esq. Polobanda,8966,COLEGIO SAINT GABRIEL´S SCHOOL LOCAL SEDE,0.340242704669712
PC483,PC483-Av. Francisco Bilbao / Esq. Huara Huara,8966,COLEGIO SAINT GABRIEL´S SCHOOL LOCAL SEDE,0.552104073523961
PC484,PC484-Av. Francisco Bilbao / Esq. Av. Manquehue-Sur,20387,"ESCUELA ESPECIAL N° 206, DANTE ALIGHIERI",0.7077477079290886
PC485,PC485-Av. Francisco Bilbao / Esq. Av. A. Vespucio-Sur,8945,ESCUELA Y LICEO PAULINA VON MALLINCKRODT,0.06613110236772103
PC486,PC486-Av. Francisco Bilbao / Esq. Latadia,8945,ESCUELA Y LICEO PAULINA VON MALLINCKRODT,0.3698071330143717
PC487,PC487-Av. Francisco Bilbao / Esq. Alcántara,24438,COLEGIO MERRYLAND,0.31150332506208633
PC488,PC488-Parada 6 / (M) Francisco Bilbao,8885,COLEGIO REDLAND SCHOOL,0.007093716038986387
PC489,PC489-Av. Francisco Bilbao / Esq. Amapolas,24801,COLEGIO HENRY FAYOL,0.16426661399721987
PC490,PC490-Av. Francisco Bilbao / Esq. Jorge Matte Gormaz,24801,COLEGIO HENRY FAYOL,0.12485717234858969
PC491,PC491-Av. Francisco Bilbao / Esq. Hernando De Aguirre,8909,COLEGIO BRADFORD SCHOOL,0.32074140741472257
PC492,PC492-Av. Francisco Bilbao / Esq. Doc. Roberto Del Río,8860,COLEGIO ANGLO AMERICAN INTERNATIONAL SCHOOL,0.33943353701136936
PC493,PC493-Av. Francisco Bilbao / Esq. Avenida Los Leones,8860,COLEGIO ANGLO AMERICAN INTERNATIONAL SCHOOL,0.19034367018526238
PC494,PC494-Av. Francisco Bilbao / Esq. Av. Ricardo Lyon,24685,COLEGIO PIAMARTA,0.2452014770874101
PC495,PC495-Parada 2 / (M) Inés De Suarez,24685,COLEGIO PIAMARTA,0.09724988901231492
PC496,PC496-Parada / Parque Inés De Suarez,8893,COLEGIO INTERNACIONAL SEK CHILE,0.27803064561808294
PC497,PC497-Av. Francisco Bilbao / Esq. Av. Manuel Montt,8867,COLEGIO SAN FRANCISCO DE ASIS,0.1388377986140599
PC498,PC498-Av. Francisco Bilbao / Esq. Av. J. Miguel Claro,26005,ESCUELA ESP. MI MUNDO EN PALABRAS,0.1188223149043514
PC499,PC499-Av. Francisco Bilbao / Esq. Av. José M. Infante,26005,ESCUELA ESP. MI MUNDO EN PALABRAS,0.3264466809373014
PC500,PC500-Av. Francisco Bilbao / Esq. Avenida Salvador,8911,COLEGIO ARABE,0.1639824733559909
PC501,PC501-Av. Francisco Bilbao / Esq. Avenida Italia,8911,COLEGIO ARABE,0.10989951975708122
PC502,PC502-Av. Francisco Bilbao / Esq. Avenida Seminario,25557,ESC BASICA PART EMILIA GONZALEZ ESPINOZA,0.21492953859346922
PC503,PC503-Parada 4 / (M) Parque Bustamante,8880,COLEGIO NIDO DE AGUILAS,0.39903380748298517
PJ1986,PJ1986-Rodoviario / Esq. Mar De Chile,25446,ESCUELA  DE  PARVULOS  CASITA  DEL  SABER,0.6036181396944256
PJ1985,PJ1985-Mar De Chile / Esq. Río Douro,25446,ESCUELA  DE  PARVULOS  CASITA  DEL  SABER,0.4532055516194122
PJ1791,PJ1791-Mar De Chile / Esq. Las Fragatas,25446,ESCUELA  DE  PARVULOS  CASITA  DEL  SABER,0.29179648579049533
PJ708,PJ708-Mar De Chile / Esq. Los Queltehues,25446,ESCUELA  DE  PARVULOS  CASITA  DEL  SABER,0.22049417738133
PJ709,PJ709-Mar De Chile / Esq. Costanera Sur,9987,ESCUELA PLATON,0.2639410926443697
PJ257,PJ257-La Capilla / Esq. Fraternidad,9987,ESCUELA PLATON,0.023681325801435872
PJ258,PJ258-La Capilla / Esq. Federico Errázuriz,9987,ESCUELA PLATON,0.19300676341513467
PJ259,PJ259-La Capilla / Esq. El Arrollo,10121,ESCUELA CIUDAD SANTO DOMINGO DE GUZMAN,0.2705698978029567
PJ1556,PJ1556-La Capilla / Esq. Avenida La Estrella,10069,COLEGIO MARQUEL,0.13079398882069315
PJ1789,PJ1789-Salvador Gutiérrez / Esq. Pasaje Abrantes,10069,COLEGIO MARQUEL,0.338232050849912
PJ261,PJ261-Salvador Gutiérrez / Esq. Lisboa,10069,COLEGIO MARQUEL,0.4405376036184241
PJ262,PJ262-Salvador Gutiérrez / Esq. Rolando Petersen,24761,SAN JUAN DE LAS CONDES,0.22408910060120585
PJ263,PJ263-Salvador Gutiérrez / Esq. Dario Salazar,24761,SAN JUAN DE LAS CONDES,0.08777186283853118
PJ264,PJ264-Salvador Gutiérrez / Esq. Lanzarote,24489,ESC. PART.BASICA SAINT PHILLIP OF NERY 2,0.15490553334574503
PJ265,PJ265-Salvador Gutiérrez / Esq. Río Lundazi,24424,COLEGIO PARTICULAR LA UNION,0.26362077953471147
PJ266,PJ266-Salvador Gutiérrez / Esq. Resbalon,26168,COLEGIO POLIVALENTE SAN PEDRO DE QUILICURA,0.10861310388335285
PJ267,PJ267-Salvador Gutiérrez / Esq. Sinal,25757,ESC. ESP. PART. TRIGAL DE HUECHURABA,0.1944221935536149
PJ268,PJ268-Salvador Gutiérrez / Esq. Santos Luis Medel,26231,ESCUELA ESP. ALEGRIA DE NIÑOS,0.2335233055424109
PJ269,PJ269-Salvador Gutiérrez / Esq. 3 De Julio,10042,COLEGIO BICENTENARIO ELVIRA HURTADO DE MATTE DE SANTIAGO,0.05991583563418661
PJ270,PJ270-Salvador Gutiérrez / Esq. Hernán Domeyko,10104,ESCUELA MONSENOR CARLOS OVIEDO,0.12581882419163448
PJ271,PJ271-Salvador Gutiérrez / Esq. Ramón A. Seguel,10104,ESCUELA MONSENOR CARLOS OVIEDO,0.31370137743488663
PJ272,PJ272-Salvador Gutiérrez / Esq. Lo López,10092,ESCUELA GOLDA MEIR,0.1082679407446383
PJ273,PJ273-Salvador Gutiérrez / Esq. Neptuno,10092,ESCUELA GOLDA MEIR,0.10291051700690303
PJ274,PJ274-Salvador Gutiérrez / Esq. Samuel Izquierdo,26533,ESCUELA ESPECIAL ARBOLIRIS,0.45557847249343786
PJ275,PJ275-Salvador Gutiérrez / Esq. Catamarca,26533,ESCUELA ESPECIAL ARBOLIRIS,0.23309409201484574
PJ276,PJ276-Salvador Gutiérrez / Esq. Jujuy,25286,ESCUELA PARTICULAR  COMUNICATE,0.18521128221128144
PJ277,PJ277-Salvador Gutiérrez / Esq. Radal,9941,COLEGIO PARTICULAR DE ASIS,0.19393117490327377
PJ278,PJ278-Salvador Gutiérrez / Esq. Santiago De Uriona,11971,COLEGIO SANTO DOMINGO_PADRES DOMINICOS,0.1632937204232945
PJ279,PJ279-Salvador Gutiérrez / Esq. La Plata,9928,ESCUELA PARTICULAR AMANECER,0.0490419704797305
PJ281,PJ281-Salvador Gutiérrez / Esq. Mendoza,26502,ESCUELA DE PARVULOS KIDS PLACE,0.23551634762066623
PJ282,PJ282-Mendoza / Esq. Padre Tadeo,25790,COLEGIO POLIV. DIEGO PORTALES DE MAIPU,0.04665167150617202
PJ283,PJ283-Mendoza / Esq. Avenida Mapocho,25790,COLEGIO POLIV. DIEGO PORTALES DE MAIPU,0.15789255771253766
PJ284,PJ284-Parada 4 / Tropezón,9950,COLEGIO EL REDENTOR,0.23417286093292847
PJ285,PJ285-Parada 1 / Villasana - Avenida Mapocho,8507,LICEO COMERCIAL JOAQUIN VERA MORALES,0.07385705829478392
PJ286,PJ286-Parada 1 / Dr. García G. - Av. Mapocho,423,ESCUELA SAN PEDRO,0.2297649557641543
PJ287,PJ287-Parada 3 / Matucana - Av. Mapocho,25143,COLEGIO SAN FRANCISCO JAVIER DE HUECHURABA,0.34652786490530085
