stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,wheelchair_boarding
PG68,,PG68-Parada / (M) Lo Ovalle,-33.5188372324485,-70.6591068351303,,0
PG69,,PG69-Parada 2 / Paradero 17 Gran Avenida,-33.5150047445695,-70.6580007632293,,0
PH124,,PH124-Parada / Paradero 15 Gran Avenida,-33.5115748448949,-70.6570337044413,,0
PH125,,PH125-Parada / Paradero 14 Gran Avenida,-33.5082622416191,-70.6561249999196,,0
PH126,,PH126-Parada / Paradero 13 Gran Avenida,-33.5054597777744,-70.6553399340919,,0
PH127,,PH127-Parada 2 / (M) Departamental,-33.5038902618113,-70.6549010004942,,0
PH128,,PH128-Parada / Colegio Chile,-33.5011440523024,-70.6540774836387,,0
PH129,,PH129-Parada 2 / Paradero 11 Gran Avenida,-33.4984972874004,-70.6533369996958,,0
PH130,,PH130-Parada / Paradero 9 1/2 Gran Avenida,-33.4953013024373,-70.6524330005108,,0
PH131,,PH131-Parada / Paradero 9 Gran Avenida,-33.4929453129013,-70.6517780005086,,0
PH132,,PH132-Parada 2 / Paradero 8 Gran Avenida,-33.4902778199263,-70.6511189712221,,0
PH133,,PH133-Parada 2 / Muni.San Miguel,-33.4870053389255,-70.6502190002935,,0
PH134,,PH134-Parada 2 / Hospital Barros Luco,-33.4846073497811,-70.6495709998593,,0
PH135,,PH135-Parada 2 / Paradero 3 Gran Avenida,-33.4799033718469,-70.6481949995028,,0
PA63,,PA63-Parada 2 / (M) Franklin,-33.4758705286133,-70.6481328398032,,0
PA64,,PA64-San Diego / Esq. Schiavett,-33.4729687837427,-70.6482928943917,,0
PA65,,PA65-San Diego / Esq. Ñuble,-33.4699227269104,-70.6484523552025,,0
PA66,,PA66-Parada / Liceo Barros Borgoño,-33.4663233092322,-70.6486738562612,,0
PA67,,PA67-San Diego / Esq. Santiago,-33.4629204841516,-70.6488481755512,,0
PA68,,PA68-San Diego / Esq. Av. Manuel A. Matta,-33.4597830398098,-70.6490446197136,,0
PA69,,PA69-Parada / Teatro Caupolicán,-33.4558347906664,-70.6496587396763,,0
PA70,,PA70-San Diego / Esq. Eyzaguirre,-33.4534386849697,-70.6500414347633,,0
PA72,,PA72-Parada 2 / (M) Pque. Almagro,-33.4506621129466,-70.6504635931877,,0
PA717,,PA717-Tarapacá / Esq. Zenteno,-33.4475237366748,-70.6520750002697,,0
PA212,,PA212-Tarapacá / Esq. Lord Cochrane,-33.4477489982157,-70.6540147168618,,0
PA720,,PA720-Lord Cochrane / Esq. Alameda,-33.4455653578593,-70.6553055536304,,0
PA218,,PA218-Hermanos Amunátegui / Esq. Moneda,-33.4426437214265,-70.6559750961495,,0
PA718,,PA718-Hermanos Amunátegui / Esq. Catedral,-33.438227235029,-70.6567580000549,,0
PA719,,PA719-Hermanos Amunátegui / Esq. San Pablo,-33.4348682276191,-70.6572349999139,,0
PA87,,PA87-Parada 7 / Estación Mapocho,-33.432999306532,-70.6523909999609,,0
PB211,,PB211-Parada / Vega Central,-33.4306323191475,-70.6515960005547,,0
PB212,,PB212-Parada / Terminal Lastra,-33.4288524265465,-70.6514055520921,,0
PB587,,PB587-Echeverría / Esq. Residencial,-33.4249650341975,-70.6518838660361,,0
PB214,,PB214-Echeverría / Esq. Av. Independencia,-33.4251054534301,-70.6542771980773,,0
PB1952,,PB1952-Parada 5 / Hospital Clínico U. De Chile,-33.4202154287656,-70.6558050980771,,0
PB1954,,PB1954-Parada 6 / (M) Hospitales,-33.4174617179091,-70.656478198077,,0
PB1956,,PB1956-Av. Independencia / Esq. Baldomero Lillo,-33.4152794038906,-70.6573418980769,,0
PB1959,,PB1959-Av. Independencia / Esq. General Saavedra,-33.4101522652488,-70.6597130980763,,0
PB1963,,PB1963-Parada 5 / (M) Pza. Chacabuco,-33.405876133927,-70.6616281980758,,0
PB1966,,PB1966-Parada 2 / Einstein - Independencia,-33.4035093998459,-70.6636974980752,,0
PB1968,,PB1968-Av. Independencia / Esq. Huidobro,-33.4005781539354,-70.6664721980742,,0
PB279,,PB279-Parada 8 / (M) Conchalí,-33.3973317073931,-70.6701764689667,,0
PB280,,PB280-Av. Independencia / Esq. Aviador Acevedo,-33.3959559917887,-70.6715850005154,,0
PB281,,PB281-Av. Independencia / Esq. Teniente Ponce,-33.3935089624545,-70.6733350000265,,0
PB227,,PB227-Av. Independencia / Esq. Elcira Espinoza,-33.3907659328986,-70.6750890002416,,0
PB283,,PB283-Av. Independencia / Esq. Doctor Asenjo,-33.3882812235837,-70.6771259289872,,0
PB1708,,PB1708-Parada 2 / (M) Vivaceta,-33.3852662488864,-70.6795957277315,,0
PB285,,PB285-Av. Independencia / Esq. Juncal,-33.3831228416487,-70.6814637997534,,0
PB286,,PB286-Av. Independencia / Esq. Uno Sur,-33.3813389357915,-70.6826378481933,,0
PB232,,PB232-Av. Independencia / Esq. Uno Norte,-33.3791007908442,-70.6834600005296,,0
PB233,,PB233-Parada 3 / (M) Cardenal Caro,-33.3744897506714,-70.6858319997833,,0
PB234,,PB234-Av. Independencia / Esq. Barranquilla,-33.371491721513,-70.6875290000008,,0
PB290,,PB290-Av. Independencia / Esq. Asunción,-33.3691036059509,-70.6884868631728,,0
PB236,,PB236-Parada 2 / (M) Los Libertadores,-33.3668331733865,-70.6891178936162,,0
PB237,,PB237-Calle 1 / Esq. Real Audiencia,-33.3638663555271,-70.6888765564213,,0
PB1491,,PB1491-San Pedro De Atacama / Esq. Lluta,-33.3598045862511,-70.6895617629416,,0
PB243,,PB243-San Pedro De Atacama / Esq. Isluga,-33.3600297314657,-70.6870109996812,,0
PB1564,,PB1564-San Pedro De Atacama / Esq. Lasaña,-33.3601797553454,-70.6856050002073,,0
PB1626,,PB1626-Mejillones / Esq. Pajonales,-33.3592266901268,-70.6845918319727,,0
PB240,,PB240-Mejillones / Esq. Los Libertadores,-33.3594234514323,-70.6825009544714,,0
PB1624,,PB1624-Parada 1 / Terminal Los Libertadores,-33.3617018734699,-70.681876002505,,0
PB299,,PB299-Avenida Recoleta / Esq. Industrial,-33.38077151385,-70.6395740000842,,0
PB300,,PB300-Avenida Recoleta / Esq. Av. A. Vespucio,-33.3824695030666,-70.6402740002113,,0
PB1369,,PB1369-Avenida Recoleta / Esq. Oscar Castro,-33.3845654900517,-70.6410790000124,,0
PB301,,PB301-Avenida Recoleta / Esq. M. Luisa Bombal,-33.3860004798762,-70.6416939996126,,0
PB302,,PB302-Avenida Recoleta / Esq. Alfredo Rosende,-33.3883391861521,-70.6423639002846,,0
PB303,,PB303-Parada 3 / (M) Zapadores,-33.3914964665741,-70.6425349997791,,0
PB304,,PB304-Avenida Recoleta / Esq. Urmeneta,-33.3933031376833,-70.642671753918,,0
PB305,,PB305-Parada 1 / (M) Dorsal,-33.3961622121349,-70.6428015676184,,0
PB1728,,PB1728-Avenida Recoleta / Esq. Emiliano Zapata,-33.3990174601528,-70.6428909996574,,0
PB306,,PB306-Avenida Recoleta / Esq. Muñoz Gamero,-33.4006524589248,-70.6429779995233,,0
PB307,,PB307-Avenida Recoleta / Esq. Diag. José M. Caro,-33.4031346899022,-70.6431038803523,,0
PB308,,PB308-Parada 1 / (M) Einstein,-33.4054076858215,-70.643240571169,,0
PB309,,PB309-Avenida Recoleta / Esq. Avenida México,-33.4079925776683,-70.6433765432087,,0
PB310,,PB310-Avenida Recoleta / Esq. Saliano,-33.4105403934125,-70.6434677621647,,0
PB311,,PB311-Parada 3 / (M) Cementerios,-33.4134344176726,-70.6436978120059,,0
PB312,,PB312-Avenida Recoleta / Esq. El Salto Chico,-33.4171753074405,-70.6438712986616,,0
PB313,,PB313-Avenida Recoleta / Esq. Urrutia,-33.4188678281573,-70.6440573069104,,0
PB314,,PB314-Parada 1 / (M) Cerro Blanco,-33.4216294690283,-70.6447933568903,,0
PB315,,PB315-Avenida Recoleta / Esq. Olivos,-33.4248494137472,-70.6457680001365,,0
PB316,,PB316-Parada / Clínica Dávila,-33.4270791983654,-70.6464098444858,,0
PB317,,PB317-Parada / (M) Patronato,-33.429307392022,-70.6470739998121,,0
PB318,,PB318-Parada 3 / Recoleta Franciscana,-33.4315660859266,-70.6479547820734,,0
PA88,,PA88-Parada 7 / Mercado Central,-33.4336464521314,-70.6489858509287,,0
PA195,,PA195-Parada 1 / Monjitas - San Antonio,-33.436676732091,-70.6486600041411,,0
PA763,,PA763-Parada 2 / Teatro Municipal,-33.4388201517162,-70.6483108388667,,0
PA91,,PA91-Parada 11 / (M) Santa Lucía,-33.4419587625273,-70.6478825378835,,0
