RBD,NOM_RBD,COD_COM_RBD,COD_DEPE2,LATITUD,LONGITUD,MAT_TOTAL,ESTADO_ESTAB,ENS_01
8611,COLEGIO NUESTRA SENORA DE ANDACOLLO,13101,2,-33.43189241,-70.66987309,1130,1,10
8613,COLEGIO FRANCISCANO MARIA REINA,13106,2,-33.45594954,-70.68375539,450,1,110
8614,COLEGIO MARIA TERESA CANCINO AGUILAR,13127,2,-33.41236812999999,-70.63803656,1086,1,10
8616,COLEGIO POLIVALENTE PLUS ULTRA,13108,2,-33.42078067,-70.65681068,1003,1,110
8617,LICEO POLIT. SARA BLINDER DARGOLTZ,13101,2,-33.46780934,-70.64853307,782,1,410
8620,COLEGIO SAN SEBASTIAN,13101,2,-33.43779253999999,-70.66559409,474,1,10
8623,ESC. BAS. PART. TERESIANA DE SAN GABRIEL,13108,2,-33.42554021,-70.65523248,344,1,110
8625,CENTRO EDUC. CASA TALLERES SAN VICENTE DE PAU,13101,2,-33.45669764,-70.6772688,961,1,110
8627,COLEGIO SANTA MARIA DE SANTIAGO,13101,2,-33.45235006,-70.64425534,1909,1,10
8629,COLEGIO POLITÉCNICO SANTA ANA,13126,2,-33.43739888,-70.68771172,1124,1,10
8631,COLEGIO ECHAURREN,13106,2,-33.47507572,-70.71677679,775,1,10
8632,LICEO POLIVALENTE SANTA JULIANA,13127,2,-33.40708328,-70.64873606,1572,1,10
8634,LICEO RUIZ TAGLE,13106,2,-33.45159121999999,-70.68899863,974,1,10
8636,LICEO LEONARDO MURIALDO,13127,2,-33.43021573,-70.64040626,1592,1,110
8639,LICEO Y COLEGIO NUEVO HISPANO CHILENO,13101,2,-33.44066566,-70.67098244,446,1,110
8643,INSTITUTO COMERCIAL BLAS CANAS,13101,2,-33.44523916,-70.64268438,690,1,110
8644,COLEGIO INDUSTRIAL VASCO NUNEZ DE BALBOA,13101,2,-33.42468182999999,-70.65536483,392,1,310
8645,LICEO JOSE DOMINGO CANAS,13125,2,-33.36578778,-70.74235686,1885,1,10
8649,COLEGIO LORENZO SAZIE,13101,2,-33.44961141999999,-70.66456751,553,1,10
8650,COLEGIO SAN BENILDO,13127,2,-33.40665113,-70.65270934,323,1,310
8652,COLEGIO SAN ANTONIO,13101,2,-33.43779818,-70.66923128,1017,1,10
